ID,UnitName,HealthPoints,DamageMin,DamageMax,SuppressionMin,SuppressionMax,Defense,Penetration,MovementCost,AttackCost,Range,Price,ResearchCost
MCG,Machine Gun,80,5,15,10,30,0,0,8,2,1,30,50
ARF,Assault Rifle,100,10,30,10,30,0,0,4,4,1,40,60
MRT,Mortar,80,5,15,10,30,0,0,6,4,2,30,50
ATC,AntiTank,60,10,20,10,30,0,10,6,6,1,40,30
FGT,Fighter,40,10,20,10,30,0,0,4,6,1,40,50
TNK,Tank,100,10,20,10,30,10,10,6,6,1,40,60
RFL,Rifle,100,5,20,10,30,0,0,6,8,1,30,50
ART,Artillery,60,10,20,10,30,0,0,8,8,3,40,50
SMG,Submachine Gun,80,5,10,10,30,0,0,4,6,1,30,50
BMB,Bomber,50,10,20,10,30,0,0,6,12,1,50,60
